Year,Measurement.date,Unit,Plot,Species,Number,Health,Herbivory,Condition,HT.cm,RCD.mm,ID3,ID2,ID,ID4,HT.cm.initial,RCD.mm.initial,Soil,Slash,VSMxtree,Planting.date,MT,Treatment,SGgw,Time.months,Biomass.g,Biomass.initial.g,RG.g.month,survival,bi.cond,placeholder,HT.growth,MYC
2021,8/23/21,10,5,ACRU,1,L,1,0,27.5,3.2,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,25,2.9,1,0,20.7,5/17/21,AM,Cut,0.49,3.2666666666666666,1.4442325333333335,1.0783021666666666,0.08944601798902961,1,1,1,2.5,AM.s
2021,8/23/21,10,5,ACRU,2,D,0,0,NA,NA,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,24.5,4.9,1,0,27.1,5/17/21,AM,Cut,0.49,3.2666666666666666,NA,3.016912523333334,NA,0,0,1,NA,AM.s
2021,8/23/21,10,5,ACRU,3,L,1,0,33,6.8,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,28.5,5,1,0,28.7,5/17/21,AM,Cut,0.49,3.2666666666666666,7.825935039999999,3.654175,0.2331345531697336,1,1,1,4.5,AM.s
2021,8/23/21,10,5,ACRU,4,L,0,0,29.5,6.5,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,25.5,4.5,1,0,29.8,5/17/21,AM,Cut,0.49,3.2666666666666666,6.392241916666667,2.64831525,0.2697432769689883,1,1,1,4,AM.s
2021,8/23/21,10,5,ACRU,5,L,1,0,72,5.2,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,17,3.7,1,0,22.3,5/17/21,AM,Cut,0.49,3.2666666666666666,9.984898560000001,1.1935945933333332,0.6502360367859935,1,1,1,55,AM.s
2021,8/23/21,10,5,ACRU,6,L,2,0,43,6.1,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,29,5.4,1,0,25.6,5/17/21,AM,Cut,0.49,3.2666666666666666,8.206020526666666,4.33700568,0.19520936354851903,1,1,1,14,AM.s
2021,8/23/21,10,5,ACRU,7,D,0,0,NA,NA,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,29,2.9,1,0,15.8,5/17/21,AM,Cut,0.49,3.2666666666666666,NA,1.250830513333333,NA,0,0,1,NA,AM.s
2021,8/23/21,10,5,ACRU,8,L,1,0,50,7.6,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,30.5,4,1,0,27.5,5/17/21,AM,Cut,0.49,3.2666666666666666,14.811589333333334,2.5027893333333338,0.5442869675998683,1,1,1,19.5,AM.s
2021,8/23/21,10,5,ACRU,9,L,1,0,43.5,6.4,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,31,4.9,1,0,29.8,5/17/21,AM,Cut,0.49,3.2666666666666666,9.13805312,3.8173178866666677,0.2672140726859947,1,1,1,12.5,AM.s
2021,8/23/21,10,5,ACRU,10,L,1,0,26.5,4.5,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,25,3.9,1,0,31.6,5/17/21,AM,Cut,0.49,3.2666666666666666,2.7521707500000003,1.9501755000000005,0.10545018226693541,1,1,1,1.5,AM.s
2021,8/23/21,10,5,ACRU,11,L,2,0,42,6.2,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,21.5,4.4,1,0,12.9,5/17/21,AM,Cut,0.49,3.2666666666666666,8.280129760000001,2.1347562133333344,0.414950873082677,1,1,1,20.5,AM.s
2021,8/23/21,10,5,ACRU,12,L,1,0,61,6.6,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,24.5,5.2,1,0,33.4,5/17/21,AM,Cut,0.49,3.2666666666666666,13.627687919999996,3.3976390933333334,0.42521105923855895,1,1,1,36.5,AM.s
2021,8/23/21,10,5,ACRU,13,L,1,1,14,2.1,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,22,5.1,1,1,18.1,5/17/21,AM,Cut,0.49,3.2666666666666666,0.3166438800000001,2.93472564,-0.6816096470647539,1,1,1,-8,AM.s
2021,8/23/21,10,5,ACRU,14,L,0,0,36,5.2,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,23,4.9,1,0,12.2,5/17/21,AM,Cut,0.49,3.2666666666666666,4.992449280000001,2.8322035933333343,0.17353211126588616,1,1,1,13,AM.s
2021,8/23/21,10,5,ACRU,15,L,0,0,35.5,6.8,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,22.5,5.8,0,0,19.4,5/17/21,AM,Cut,0.49,3.2666666666666666,8.418808906666666,3.8818877999999994,0.23698370710113376,1,1,1,13,AM.s
2021,8/23/21,10,5,ACRU,16,L,1,0,38.5,6.7,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,28,5.3,0,0,18.7,5/17/21,AM,Cut,0.49,3.2666666666666666,8.86369509666667,4.033798906666668,0.24099647228455803,1,1,1,10.5,AM.s
2021,8/23/21,10,5,ACRU,17,L,2,0,29.5,5.8,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,26,5.4,1,1,29,5/17/21,AM,Cut,0.49,3.2666666666666666,5.0895862266666665,3.8883499200000005,0.08241173059854544,1,1,1,3.5,AM.s
2021,8/23/21,10,5,ACRU,18,L,0,0,28,5.5,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,24.5,4.8,1,0,28,5/17/21,AM,Cut,0.49,3.2666666666666666,4.343980666666668,2.89502976,0.12422318610418868,1,1,1,3.5,AM.s
2021,8/23/21,10,5,ACRU,19,L,2,0,48,6.8,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,30,5.2,1,0,20,5/17/21,AM,Cut,0.49,3.2666666666666666,11.38317824,4.160374400000001,0.3081219191127839,1,1,1,18,AM.s
2021,8/23/21,10,5,ACRU,20,L,2,0,37.5,6.5,10.5.2021,10.5.2021,10_5,2021.10_5.ACRU,18,4.1,1,0,19.1,5/17/21,AM,Cut,0.49,3.2666666666666666,8.125731250000001,1.5518319599999997,0.5068161984069978,1,1,1,19.5,AM.s
2021,8/23/21,10,5,ACSA,1,L,0,0,38,5.4,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,35.5,4.8,1,0,14.8,5/17/21,AM,Cut,0.56,3.2666666666666666,6.494826240000002,4.79410176,0.09294475547687228,1,1,1,2.5,AM.s
2021,8/23/21,10,5,ACSA,2,L,1,0,46,4.3,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,35,3.5,1,0,24.7,5/17/21,AM,Cut,0.56,3.2666666666666666,4.985298453333334,2.513046666666667,0.20969309492080987,1,1,1,11,AM.s
2021,8/23/21,10,5,ACSA,3,L,2,0,44,5.4,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,31.5,3.9,1,0,18.9,5/17/21,AM,Cut,0.56,3.2666666666666666,7.520325120000001,2.808252720000001,0.30154496600691716,1,1,1,12.5,AM.s
2021,8/23/21,10,5,ACSA,4,L,1,0,43.5,5.3,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,34,4.9,1,0,16.5,5/17/21,AM,Cut,0.56,3.2666666666666666,7.162051120000003,4.7848408533333355,0.12347254419228598,1,1,1,9.5,AM.s
2021,8/23/21,10,5,ACSA,5,L,1,0,45,5.3,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,33,4.8,1,1,22.4,5/17/21,AM,Cut,0.56,3.2666666666666666,7.409018400000003,4.456488960000001,0.15561328579356173,1,1,1,12,AM.s
2021,8/23/21,10,5,ACSA,6,L,1,1,29,3.8,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,32,3,1,0,28.3,5/17/21,AM,Cut,0.56,3.2666666666666666,2.4544919466666673,1.6880640000000002,0.11459310713730868,1,1,1,-3,AM.s
2021,8/23/21,10,5,ACSA,7,L,1,0,51.5,4.7,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,34,3.4,1,0,21.8,5/17/21,AM,Cut,0.56,3.2666666666666666,6.66805794666667,2.3037384533333336,0.32534554201265015,1,1,1,17.5,AM.s
2021,8/23/21,10,5,ACSA,8,L,2,0,53,9.1,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,41,6.8,1,0,31.3,5/17/21,AM,Cut,0.56,3.2666666666666666,25.724981706666668,11.112150186666666,0.25696636210080626,1,1,1,12,AM.s
2021,8/23/21,10,5,ACSA,9,L,1,1,24.5,3.9,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,30.5,3.8,1,0,27.4,5/17/21,AM,Cut,0.56,3.2666666666666666,2.18419656,2.581448426666667,-0.05115385507841737,1,1,1,-6,AM.s
2021,8/23/21,10,5,ACSA,10,L,1,0,34,3.9,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,30.5,6.1,1,0,31.1,5/17/21,AM,Cut,0.56,3.2666666666666666,3.031129920000001,6.652056506666667,-0.24060936584220424,1,1,1,3.5,AM.s
2021,8/23/21,10,5,ACSA,11,L,1,1,17.5,7.5,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,26.5,2.4,1,0,23.5,5/17/21,AM,Cut,0.56,3.2666666666666666,5.76975,0.8946739200000001,0.5705891982593944,1,1,1,-9,AM.s
2021,8/23/21,10,5,ACSA,12,L,1,1,24,2.3,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,27,3.4,1,2,23.4,5/17/21,AM,Cut,0.56,3.2666666666666666,0.74415488,1.82943936,-0.275361934601145,1,1,1,-3,AM.s
2021,8/23/21,10,5,ACSA,13,L,1,0,28,5,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,29,3.6,1,1,27.5,5/17/21,AM,Cut,0.56,3.2666666666666666,4.1029333333333335,2.20292352,0.19038269820391898,1,1,1,-1,AM.s
2021,8/23/21,10,5,ACSA,14,L,1,0,24.5,4.5,10.5.2021,10.5.2021,10_5,2021.10_5.ACSA,31.5,3,1,1,27.4,5/17/21,AM,Cut,0.56,3.2666666666666666,2.907954,1.6616880000000003,0.17131095549043548,1,1,1,-7,AM.s
